"","Player.ID","Last.Name","First.Name","Bats","Pitches","Team","V7"
"1","adaij101","Adair","Jerry","R","R","BAL","2B"
"2","aparl101","Aparicio","Luis","R","R","BAL","SS"
"3","barbs102","Barber","Steve","L","L","BAL","P"
"4","bertf101","Bertaina","Frank","L","L","BAL","P"
"5","blaip101","Blair","Paul","R","R","BAL","OF"
"6","bowes103","Bowens","Sam","R","R","BAL","OF"
"7","branj101","Brandt","Jackie","R","R","BAL","OF"
"8","browd102","Brown","Dick","R","R","BAL","C"
"9","bunkw101","Bunker","Wally","R","R","BAL","P"
"10","cimog101","Cimoli","Gino","R","R","BAL","OF"
"11","estrc101","Estrada","Chuck","R","R","BAL","P"
"12","gainj101","Gaines","Joe","R","R","BAL","OF"
"13","greel101","Green","Lenny","L","L","BAL","OF"
"14","haddh101","Haddix","Harvey","L","L","BAL","P"
"15","halld101","Hall","Dick","R","R","BAL","P"
"16","jackl101","Jackson","Lou","L","R","BAL","OF"
"17","johnb104","Johnson","Bob","R","R","BAL","SS"
"18","jones105","Jones","Sam","R","R","BAL","P"
"19","kirkw101","Kirkland","Willie","L","R","BAL","OF"
"20","lau-c101","Lau","Charlie","L","R","BAL","C"
"21","mccom103","McCormick","Mike","L","L","BAL","P"
"22","mcnad102","McNally","Dave","R","L","BAL","P"
"23","mills101","Miller","Stu","R","R","BAL","P"
"24","orsij101","Orsino","John","R","R","BAL","C"
"25","pappm101","Pappas","Milt","R","R","BAL","P"
"26","pinil001","Piniella","Lou","R","R","BAL","PR"
"27","poweb101","Powell","Boog","L","R","BAL","OF"
"28","rober102","Roberts","Robin","B","R","BAL","P"
"29","robib104","Robinson","Brooks","R","R","BAL","3B"
"30","robie102","Robinson","Earl","R","R","BAL","OF"
"31","rowek101","Rowe","Ken","R","R","BAL","P"
"32","saveb101","Saverine","Bob","B","R","BAL","SS"
"33","siebn101","Siebern","Norm","L","R","BAL","1B"
"34","snydr102","Snyder","Russ","L","R","BAL","OF"
"35","starh101","Starrette","Herm","R","R","BAL","P"
"36","stocw101","Stock","Wes","R","R","BAL","P"
"37","vined101","Vineyard","Dave","R","R","BAL","P"
"38","brese101","Bressoud","Eddie","R","R","BOS","SS"
"39","charp101","Charton","Pete","L","R","BOS","P"
"40","clinl101","Clinton","Lou","R","R","BOS","OF"
"41","conit101","Conigliaro","Tony","R","R","BOS","OF"
"42","conne102","Connolly","Ed","L","L","BOS","P"
"43","earla101","Earley","Arnold","L","L","BOS","P"
"44","geigg101","Geiger","Gary","L","R","BOS","OF"
"45","grayd103","Gray","Dave","R","R","BOS","P"
"46","guinb103","Guindon","Bobby","L","L","BOS","1B"
"47","heffb101","Heffner","Bob","R","R","BOS","P"
"48","hortt101","Horton","Tony","R","R","BOS","OF"
"49","joned102","Jones","Dalton","L","R","BOS","2B"
"50","lamaj101","Lamabe","Jack","R","R","BOS","P"
"51","malzf101","Malzone","Frank","R","R","BOS","3B"
"52","mantf101","Mantilla","Felix","R","R","BOS","OF"
